age,sex,state,value
<5,F,Alabama,144276
9-May,F,Alabama,146733
14-Oct,F,Alabama,162158
15-17,F,Alabama,95167
18-24,F,Alabama,230513
25-34,F,Alabama,328098
35-44,F,Alabama,315771
45-54,F,Alabama,323966
55-64,F,Alabama,349002
65-74,F,Alabama,273827
75-84,F,Alabama,142272
85+,F,Alabama,56189
<5,F,Alaska,24826
9-May,F,Alaska,25891
14-Oct,F,Alaska,24162
15-17,F,Alaska,14049
18-24,F,Alaska,29856
25-34,F,Alaska,54963
35-44,F,Alaska,46314
45-54,F,Alaska,41278
55-64,F,Alaska,44702
65-74,F,Alaska,29621
75-84,F,Alaska,11713
85+,F,Alaska,3827
<5,F,Arizona,201999
9-May,F,Arizona,215310
14-Oct,F,Arizona,235194
15-17,F,Arizona,137529
18-24,F,Arizona,325423
25-34,F,Arizona,467102
35-44,F,Arizona,432664
45-54,F,Arizona,419087
55-64,F,Arizona,444079
65-74,F,Arizona,387296
75-84,F,Arizona,200147
85+,F,Arizona,79478
<5,F,Arkansas,89170
9-May,F,Arkansas,95925
14-Oct,F,Arkansas,98171
15-17,F,Arkansas,59874
18-24,F,Arkansas,136426
25-34,F,Arkansas,194163
35-44,F,Arkansas,188700
45-54,F,Arkansas,183520
55-64,F,Arkansas,198204
65-74,F,Arkansas,159216
75-84,F,Arkansas,83939
85+,F,Arkansas,35481
<5,F,California,1146476
9-May,F,California,1188179
14-Oct,F,California,1296261
15-17,F,California,757006
18-24,F,California,1785983
25-34,F,California,2885487
35-44,F,California,2620387
45-54,F,California,2506218
55-64,F,California,2434959
65-74,F,California,1782400
75-84,F,California,885135
85+,F,California,452818
<5,F,Colorado,158279
9-May,F,Colorado,170826
14-Oct,F,Colorado,178712
15-17,F,Colorado,107666
18-24,F,Colorado,250233
25-34,F,Colorado,425915
35-44,F,Colorado,387976
45-54,F,Colorado,347705
55-64,F,Colorado,359938
65-74,F,Colorado,268788
75-84,F,Colorado,116980
85+,F,Colorado,54222
<5,F,Connecticut,88388
9-May,F,Connecticut,97298
14-Oct,F,Connecticut,108901
15-17,F,Connecticut,68990
18-24,F,Connecticut,168939
25-34,F,Connecticut,219467
35-44,F,Connecticut,221766
45-54,F,Connecticut,249462
55-64,F,Connecticut,266983
65-74,F,Connecticut,189547
75-84,F,Connecticut,98023
85+,F,Connecticut,58706
<5,F,Delaware,26667
9-May,F,Delaware,27835
14-Oct,F,Delaware,29842
15-17,F,Delaware,17790
18-24,F,Delaware,41449
25-34,F,Delaware,64069
35-44,F,Delaware,58757
45-54,F,Delaware,62606
55-64,F,Delaware,73289
65-74,F,Delaware,61044
75-84,F,Delaware,29795
85+,F,Delaware,11530
<5,F,DistrictofColumbia,21068
9-May,F,DistrictofColumbia,17734
14-Oct,F,DistrictofColumbia,15149
15-17,F,DistrictofColumbia,7798
18-24,F,DistrictofColumbia,38651
25-34,F,DistrictofColumbia,82770
35-44,F,DistrictofColumbia,54067
45-54,F,DistrictofColumbia,36364
55-64,F,DistrictofColumbia,35382
65-74,F,DistrictofColumbia,27553
75-84,F,DistrictofColumbia,14617
85+,F,DistrictofColumbia,6511
<5,F,Florida,547351
9-May,F,Florida,564146
14-Oct,F,Florida,608112
15-17,F,Florida,363328
18-24,F,Florida,847487
25-34,F,Florida,1352337
35-44,F,Florida,1311562
45-54,F,Florida,1379530
55-64,F,Florida,1506298
65-74,F,Florida,1304876
75-84,F,Florida,737603
85+,F,Florida,327584
<5,F,Georgia,314626
9-May,F,Georgia,335684
14-Oct,F,Georgia,369232
15-17,F,Georgia,219670
18-24,F,Georgia,498805
25-34,F,Georgia,740657
35-44,F,Georgia,722751
45-54,F,Georgia,720678
55-64,F,Georgia,683040
65-74,F,Georgia,500530
75-84,F,Georgia,233171
85+,F,Georgia,95155
<5,F,Hawaii,42240
9-May,F,Hawaii,42166
14-Oct,F,Hawaii,42674
15-17,F,Hawaii,23540
18-24,F,Hawaii,55365
25-34,F,Hawaii,97249
35-44,F,Hawaii,92182
45-54,F,Hawaii,86904
55-64,F,Hawaii,93403
65-74,F,Hawaii,79928
75-84,F,Hawaii,40383
85+,F,Hawaii,25292
<5,F,Idaho,56355
9-May,F,Idaho,61224
14-Oct,F,Idaho,66826
15-17,F,Idaho,39298
18-24,F,Idaho,80660
25-34,F,Idaho,115613
35-44,F,Idaho,114768
45-54,F,Idaho,101830
55-64,F,Idaho,112344
65-74,F,Idaho,90572
75-84,F,Idaho,41927
85+,F,Idaho,17671
<5,F,Illinois,364468
9-May,F,Illinois,383394
14-Oct,F,Illinois,413063
15-17,F,Illinois,251226
18-24,F,Illinois,574710
25-34,F,Illinois,868914
35-44,F,Illinois,832953
45-54,F,Illinois,821198
55-64,F,Illinois,857195
65-74,F,Illinois,630669
75-84,F,Illinois,323653
85+,F,Illinois,168194
<5,F,Indiana,202506
9-May,F,Indiana,213179
14-Oct,F,Indiana,225170
15-17,F,Indiana,135816
18-24,F,Indiana,321480
25-34,F,Indiana,437003
35-44,F,Indiana,420081
45-54,F,Indiana,418213
55-64,F,Indiana,448478
65-74,F,Indiana,335267
75-84,F,Indiana,166340
85+,F,Indiana,83447
<5,F,Iowa,95263
9-May,F,Iowa,99107
14-Oct,F,Iowa,106302
15-17,F,Iowa,61946
18-24,F,Iowa,153746
25-34,F,Iowa,193335
35-44,F,Iowa,190776
45-54,F,Iowa,183192
55-64,F,Iowa,210338
65-74,F,Iowa,160760
75-84,F,Iowa,86783
85+,F,Iowa,47541
<5,F,Kansas,90089
9-May,F,Kansas,98651
14-Oct,F,Kansas,99835
15-17,F,Kansas,59029
18-24,F,Kansas,141751
25-34,F,Kansas,184148
35-44,F,Kansas,179951
45-54,F,Kansas,166457
55-64,F,Kansas,190520
65-74,F,Kansas,141352
75-84,F,Kansas,72067
85+,F,Kansas,40097
<5,F,Kentucky,131639
9-May,F,Kentucky,134664
14-Oct,F,Kentucky,146208
15-17,F,Kentucky,84707
18-24,F,Kentucky,203552
25-34,F,Kentucky,287128
35-44,F,Kentucky,279778
45-54,F,Kentucky,286676
55-64,F,Kentucky,309886
65-74,F,Kentucky,237606
75-84,F,Kentucky,119685
85+,F,Kentucky,48829
<5,F,Louisiana,145968
9-May,F,Louisiana,147702
14-Oct,F,Louisiana,155675
15-17,F,Louisiana,89610
18-24,F,Louisiana,207295
25-34,F,Louisiana,325281
35-44,F,Louisiana,302520
45-54,F,Louisiana,283509
55-64,F,Louisiana,314197
65-74,F,Louisiana,236480
75-84,F,Louisiana,115243
85+,F,Louisiana,50264
<5,F,Maine,31033
9-May,F,Maine,33921
14-Oct,F,Maine,35708
15-17,F,Maine,22913
18-24,F,Maine,52569
25-34,F,Maine,80921
